Passager_ID,Date_Heure_Debut_Parcours,Vol,Siege,Porte,Aeroport_Depart,Aeroport_Arrivee,Heure_Decollage,Heure_Atterrissage,Entree_Terminal,Enregistrement,Controle_Securite,Controle_Passeport,Duty_Free,Porte_Embarquement,Recuperation_Bagages,Sortie_Aeroport
P00154,2025-01-03 12:30:00,565m,21E,G12,BOD,JFK,2025-01-03 14:59:29.535476,2025-01-04 00:24:28.335629,7m,19m,15m,17m,13m,35m,31m,8m
P00155,2025-01-09 17:36:00,580m,31D,B8,ORY,MAD,2025-01-09 20:22:41.003331,2025-01-10 06:02:30.879131,8m,21m,27m,22m,17m,34m,20m,11m
P00156,2025-01-11 10:01:00,,19E,G21,ORY,LHR,2025-01-11 12:04:44.867454,2025-01-12 01:01:15.751280,11m,13m,19m,10m,13m,IN (15m),,
P00157,2025-01-10 17:33:00,493m,9F,B10,CDG,MAD,2025-01-10 19:30:35.841415,2025-01-11 03:43:19.144748,8m,17m,13m,15m,33m,20m,37m,12m
P00158,2025-01-28 16:16:00,377m,33D,B29,CDG,LHR,2025-01-28 19:05:37.078126,2025-01-29 01:23:02.391226,9m,24m,32m,17m,20m,27m,80m,11m
P00159,2025-01-23 16:42:00,409m,36B,B21,ORY,DXB,2025-01-23 19:02:13.902182,2025-01-24 01:50:59.314963,6m,17m,20m,10m,17m,43m,22m,7m
P00160,2025-01-30 09:09:00,450m,5C,B22,NCE,LHR,2025-01-30 11:41:40.192157,2025-01-30 19:11:56.136675,11m,16m,21m,17m,48m,18m,24m,9m
P00161,2025-01-13 11:51:00,78m,13D,B9,CDG,LYS,2025-01-13 13:50:36.929739,2025-01-13 15:08:19.417950,9m,7m,23m,5m,14m,27m,36m,17m
P00162,2025-01-12 21:26:00,96m,17A,G29,LYS,NCE,2025-01-12 23:45:07.995082,2025-01-13 01:21:11.635353,7m,21m,23m,4m,32m,35m,16m,6m
P00163,2025-01-12 02:40:00,55m,11F,B8,LYS,BOD,2025-01-12 04:38:47.186448,2025-01-12 05:34:12.141183,5m,23m,22m,5m,19m,21m,25m,7m
P00164,2025-01-18 04:38:00,341m,27E,F23,BOD,FRA,2025-01-18 06:14:55.425787,2025-01-18 11:56:06.697747,4m,9m,21m,6m,12m,22m,33m,9m
P00165,2025-01-15 14:19:00,310m,8A,B7,BOD,FCO,2025-01-15 16:14:41.639297,2025-01-15 21:25:01.789016,5m,12m,22m,11m,15m,19m,38m,8m
P00166,2025-01-05 12:39:00,,27B,C2,BOD,LYS,2025-01-05 15:16:43.042139,2025-01-05 16:02:28.250680,7m,IN (2m),,,,,,
P00167,2025-01-29 12:06:00,107m,32F,B20,BOD,ORY,2025-01-29 13:57:29.098641,2025-01-29 15:44:53.180260,9m,14m,13m,4m,16m,36m,28m,7m
P00168,2025-01-25 08:46:00,563m,14A,E22,NCE,AMS,2025-01-25 11:53:25.784404,2025-01-25 21:16:01.897233,8m,22m,31m,30m,31m,46m,27m,15m
P00169,2025-01-18 10:28:00,597m,6C,B13,CDG,FRA,2025-01-18 12:25:29.035143,2025-01-18 22:22:58.209950,5m,20m,28m,12m,24m,18m,28m,21m
P00170,2025-01-09 19:45:00,85m,18C,H12,ORY,NCE,2025-01-09 22:26:32.771268,2025-01-09 23:51:54.222427,7m,12m,54m,5m,40m,28m,14m,8m
P00171,2025-01-07 13:11:00,499m,36B,B4,BOD,JFK,2025-01-07 16:03:30.833043,2025-01-08 00:22:18.011344,4m,10m,43m,15m,16m,37m,54m,4m
P00172,2025-01-12 01:59:00,,9A,C5,NCE,DXB,2025-01-12 04:26:17.355152,2025-01-12 12:07:59.333343,6m,18m,IN (12m),,,,,
P00173,2025-01-12 03:33:00,435m,3F,H19,CDG,FCO,2025-01-12 06:11:56.753420,2025-01-12 13:26:48.575356,7m,22m,14m,15m,31m,33m,30m,7m
P00174,2025-01-05 03:34:00,,11D,G15,NCE,AMS,2025-01-05 06:25:21.961589,2025-01-05 12:40:33.998843,9m,IN (20m),,,,,,
P00175,2025-01-16 16:45:00,509m,32A,E16,LYS,MAD,2025-01-16 18:42:58.592998,2025-01-17 03:12:13.298195,7m,34m,15m,17m,21m,15m,45m,6m
P00176,2025-01-12 17:46:00,,2A,B15,CDG,JFK,2025-01-12 20:24:22.990449,2025-01-13 05:56:45.504724,7m,28m,IN (11m),,,,,
P00177,2025-01-30 03:53:00,343m,14A,H27,NCE,FRA,2025-01-30 06:13:47.637676,2025-01-30 11:56:32.840996,9m,17m,21m,17m,21m,17m,32m,13m
P00178,2025-01-18 06:24:00,89m,23C,E26,ORY,NCE,2025-01-18 09:34:24.184507,2025-01-18 11:03:06.129127,9m,22m,35m,6m,34m,36m,20m,13m
P00179,2025-01-21 05:12:00,72m,26C,A27,CDG,NCE,2025-01-21 07:47:29.372444,2025-01-21 08:59:55.005473,8m,26m,20m,13m,19m,30m,22m,12m
P00180,2025-01-24 17:47:00,482m,26C,D22,BOD,AMS,2025-01-24 20:34:51.125620,2025-01-25 04:37:20.341692,19m,18m,14m,11m,23m,37m,43m,8m
P00181,2025-01-15 17:19:00,88m,12C,A28,ORY,LYS,2025-01-15 19:46:20.271954,2025-01-15 21:14:18.665204,9m,22m,15m,8m,28m,44m,18m,7m
P00182,2025-01-01 01:49:00,399m,20F,C12,CDG,AMS,2025-01-01 03:50:31.491277,2025-01-01 10:29:23.876092,4m,15m,12m,10m,24m,14m,36m,6m
P00183,2025-01-11 03:11:00,542m,19A,A26,ORY,FCO,2025-01-11 05:31:37.973954,2025-01-11 14:33:13.039764,10m,15m,23m,13m,27m,20m,37m,6m
P00184,2025-01-01 21:15:00,321m,20A,H20,ORY,DXB,2025-01-01 23:31:57.756174,2025-01-02 04:52:57.592332,4m,15m,23m,7m,15m,40m,36m,6m
P00185,2025-01-01 10:43:00,84m,4A,F27,CDG,NCE,2025-01-01 12:35:34.831020,2025-01-01 13:59:23.093848,7m,15m,23m,3m,12m,35m,27m,8m
P00186,2025-01-21 00:39:00,79m,15C,D19,CDG,NCE,2025-01-21 02:40:19.745267,2025-01-21 03:59:33.256813,4m,14m,35m,3m,22m,10m,16m,6m
P00187,2025-01-16 19:35:00,349m,1B,A28,CDG,LHR,2025-01-16 22:13:23.084782,2025-01-17 04:02:24.212095,5m,15m,39m,17m,17m,43m,43m,5m
P00188,2025-01-10 14:16:00,101m,36D,C30,ORY,LYS,2025-01-10 17:02:51.689562,2025-01-10 18:44:02.371979,7m,12m,18m,4m,24m,54m,27m,25m
P00189,2025-01-02 12:24:00,,21C,E12,NCE,FCO,2025-01-02 14:58:13.448973,2025-01-02 23:27:52.549605,6m,23m,26m,IN (8m),,,,
P00190,2025-01-16 01:10:00,321m,15B,G16,BOD,DXB,2025-01-16 02:57:06.693215,2025-01-16 08:17:48.872317,3m,14m,20m,11m,17m,30m,16m,7m
P00191,2025-01-15 07:35:00,,7C,A27,ORY,AMS,2025-01-15 09:42:13.773170,2025-01-15 15:41:47.549161,7m,22m,32m,11m,IN (8m),,,
P00192,2025-01-23 04:12:00,69m,36A,H2,CDG,ORY,2025-01-23 06:12:45.839660,2025-01-23 07:21:28.727835,6m,11m,12m,2m,16m,26m,23m,7m
P00193,2025-01-11 01:48:00,66m,14A,D19,NCE,LYS,2025-01-11 03:19:48.591009,2025-01-11 04:25:22.746356,7m,11m,13m,4m,15m,16m,14m,11m
P00194,2025-01-25 18:12:00,243m,23B,B12,LYS,MAD,2025-01-25 21:41:56.233845,2025-01-26 01:44:32.885650,5m,16m,39m,33m,35m,38m,21m,13m
P00195,2025-01-14 07:32:00,479m,39D,G26,ORY,JFK,2025-01-14 11:04:30.383587,2025-01-14 19:03:25.443817,7m,30m,18m,42m,28m,37m,70m,14m
P00196,2025-01-27 16:38:00,IN (134m),22E,G24,BOD,FRA,2025-01-27 18:56:35.546864,2025-01-28 01:23:26.261897,12m,31m,20m,12m,16m,36m,,
P00197,2025-01-19 15:32:00,475m,24E,E26,ORY,DXB,2025-01-19 17:39:09.324849,2025-01-20 01:34:03.712461,6m,21m,21m,7m,12m,16m,59m,13m
P00198,2025-01-05 06:15:00,100m,2E,E5,ORY,LYS,2025-01-05 08:38:30.952782,2025-01-05 10:18:26.112808,10m,7m,23m,8m,24m,27m,32m,16m
P00199,2025-01-07 06:48:00,487m,13F,H30,CDG,DXB,2025-01-07 10:07:21.470520,2025-01-07 18:14:40.853927,8m,34m,25m,22m,35m,29m,33m,16m
P00200,2025-01-14 02:35:00,470m,18E,G8,LYS,DXB,2025-01-14 04:20:15.601230,2025-01-14 12:09:51.282789,7m,9m,15m,16m,20m,21m,25m,7m
P00201,2025-01-16 03:13:00,90m,10C,E27,ORY,NCE,2025-01-16 05:13:27.252597,2025-01-16 06:43:27.412325,3m,10m,31m,3m,27m,25m,10m,10m
P00202,2025-01-20 08:54:00,59m,9E,E15,NCE,BOD,2025-01-20 11:43:10.553382,2025-01-20 12:42:40.122014,6m,27m,36m,4m,29m,25m,33m,6m
P00203,2025-01-22 00:44:00,520m,3E,F8,CDG,DXB,2025-01-22 02:52:34.628921,2025-01-22 11:32:07.843546,5m,23m,32m,14m,11m,27m,32m,9m
P00204,2025-01-23 11:49:00,133m,20F,B22,CDG,NCE,2025-01-23 14:07:38.188716,2025-01-23 16:20:36.287808,4m,16m,42m,4m,19m,29m,13m,9m
P00205,2025-01-12 07:08:00,IN (424m),3A,C12,BOD,FRA,2025-01-12 10:30:34.414420,2025-01-12 20:35:18.770863,7m,12m,45m,23m,61m,21m,,
P00206,2025-01-30 09:22:00,87m,1A,E23,ORY,BOD,2025-01-30 12:13:42.450006,2025-01-30 13:40:32.994754,4m,21m,39m,4m,28m,30m,19m,8m
P00207,2025-01-13 12:45:00,587m,16E,G25,NCE,MAD,2025-01-13 14:36:54.538695,2025-01-14 00:23:30.764626,10m,13m,20m,12m,13m,24m,32m,5m
P00208,2025-01-17 20:36:00,458m,24F,D18,ORY,MAD,2025-01-18 00:16:01.334212,2025-01-18 07:54:11.480229,9m,38m,31m,23m,35m,45m,37m,23m
P00209,2025-01-06 16:48:00,484m,30D,B19,ORY,FRA,2025-01-06 18:22:33.601874,2025-01-07 02:26:32.512352,5m,10m,9m,11m,20m,26m,12m,4m
P00210,2025-01-13 17:23:00,503m,27B,B24,BOD,LHR,2025-01-13 20:26:59.650910,2025-01-14 04:49:37.070021,5m,22m,16m,17m,59m,50m,34m,5m
P00211,2025-01-19 09:15:00,93m,8F,E6,ORY,BOD,2025-01-19 11:42:08.083616,2025-01-19 13:15:00.631573,6m,13m,21m,7m,25m,33m,24m,10m
P00212,2025-01-04 00:25:00,113m,8B,A19,ORY,NCE,2025-01-04 02:44:20.791690,2025-01-04 04:37:30.202064,8m,14m,29m,6m,30m,28m,22m,11m
P00213,2025-01-01 03:16:00,274m,17D,G22,NCE,DXB,2025-01-01 05:07:45.314713,2025-01-01 09:41:45.752543,5m,26m,15m,10m,10m,18m,34m,21m
P00214,2025-01-03 09:43:00,376m,32C,H27,NCE,AMS,2025-01-03 11:58:18.298497,2025-01-03 18:14:10.070207,8m,19m,25m,11m,30m,18m,50m,12m
P00215,2025-01-09 05:51:00,471m,27E,G14,ORY,JFK,2025-01-09 07:51:58.368983,2025-01-09 15:43:08.874721,4m,18m,23m,17m,13m,18m,26m,4m
P00216,2025-01-05 02:31:00,77m,17B,E20,BOD,ORY,2025-01-05 05:13:46.889797,2025-01-05 06:30:25.746510,6m,13m,43m,4m,31m,19m,13m,7m
P00217,2025-01-01 18:33:00,368m,34F,E4,NCE,LHR,2025-01-01 20:55:43.274522,2025-01-02 03:03:53.399951,5m,17m,20m,14m,21m,23m,26m,12m
P00218,2025-01-21 18:03:00,330m,35B,A8,CDG,LHR,2025-01-21 20:25:21.596833,2025-01-22 01:55:07.534671,7m,19m,34m,17m,26m,22m,76m,10m
P00219,2025-01-12 16:27:00,159m,27D,B4,BOD,ORY,2025-01-12 18:16:01.582839,2025-01-12 20:54:42.507299,6m,13m,37m,4m,8m,24m,24m,6m
P00220,2025-01-25 03:58:00,320m,4F,C18,ORY,MAD,2025-01-25 06:08:07.069241,2025-01-25 11:27:43.950011,7m,11m,27m,8m,36m,15m,34m,15m
P00221,2025-01-27 02:55:00,455m,14A,C6,NCE,FCO,2025-01-27 04:58:34.744939,2025-01-27 12:33:58.971225,4m,18m,13m,14m,16m,42m,45m,6m
P00222,2025-01-12 01:59:00,,10A,A13,LYS,JFK,2025-01-12 03:44:40.337211,2025-01-12 11:57:49.947061,8m,9m,12m,IN (10m),,,,
P00223,2025-01-04 04:02:00,464m,35C,C5,NCE,AMS,2025-01-04 06:01:27.131646,2025-01-04 13:45:03.851687,4m,8m,19m,11m,16m,29m,33m,8m
P00224,2025-01-08 17:53:00,567m,36B,A22,LYS,FCO,2025-01-08 20:35:58.478802,2025-01-09 06:02:52.622853,5m,25m,27m,22m,27m,33m,40m,10m
P00225,2025-01-25 02:48:00,379m,34D,F8,CDG,JFK,2025-01-25 05:56:19.070736,2025-01-25 12:15:36.947153,4m,19m,24m,11m,53m,30m,34m,5m
P00226,2025-01-12 10:50:00,284m,8B,G19,LYS,AMS,2025-01-12 12:44:40.869525,2025-01-12 17:28:46.906051,6m,13m,15m,9m,16m,18m,32m,9m
P00227,2025-01-24 08:41:00,566m,7A,E25,LYS,AMS,2025-01-24 11:11:58.623113,2025-01-24 20:38:26.400174,7m,13m,19m,12m,16m,37m,26m,11m
P00228,2025-01-01 03:26:00,389m,30E,B13,CDG,AMS,2025-01-01 06:15:08.903771,2025-01-01 12:44:04.082843,4m,17m,26m,13m,39m,39m,24m,9m
P00229,2025-01-21 02:10:00,286m,37C,A13,BOD,AMS,2025-01-21 04:41:35.988440,2025-01-21 09:27:12.696666,9m,16m,22m,14m,24m,17m,23m,6m
P00230,2025-01-16 08:57:00,430m,2D,H30,ORY,JFK,2025-01-16 12:17:19.660562,2025-01-16 19:27:07.119122,6m,23m,58m,16m,20m,32m,36m,11m
P00231,2025-01-20 08:38:00,487m,16D,G12,CDG,LHR,2025-01-20 11:20:03.107458,2025-01-20 19:26:38.996124,9m,17m,31m,18m,33m,41m,35m,11m
P00232,2025-01-15 14:39:00,342m,13C,C8,LYS,AMS,2025-01-15 16:54:52.225555,2025-01-15 22:36:37.627311,3m,15m,19m,11m,31m,16m,11m,7m
P00233,2025-01-17 21:41:00,312m,30E,F14,BOD,AMS,2025-01-17 23:53:52.719651,2025-01-18 05:06:11.640551,3m,13m,24m,25m,18m,18m,32m,4m
P00234,2025-01-04 21:49:00,483m,27B,A29,LYS,FCO,2025-01-05 00:26:31.924408,2025-01-05 08:29:29.919534,7m,27m,11m,24m,40m,32m,43m,8m
P00235,2025-01-02 09:55:00,76m,8A,E15,ORY,LYS,2025-01-02 12:25:16.974893,2025-01-02 13:41:07.087665,6m,19m,35m,5m,37m,31m,18m,16m
P00236,2025-01-21 16:24:00,265m,16E,A8,BOD,AMS,2025-01-21 19:10:47.522329,2025-01-21 23:35:51.749802,6m,14m,61m,12m,15m,38m,27m,15m
P00237,2025-01-30 04:22:00,300m,6A,C6,NCE,DXB,2025-01-30 06:53:11.725598,2025-01-30 11:53:13.606015,10m,24m,24m,8m,12m,31m,27m,9m
P00238,2025-01-06 07:05:00,568m,2E,G16,LYS,LHR,2025-01-06 09:19:45.010712,2025-01-06 18:47:19.806986,5m,16m,28m,17m,11m,23m,35m,IN (4m)
P00239,2025-01-05 21:56:00,455m,8A,H29,ORY,FRA,2025-01-06 00:06:45.108594,2025-01-06 07:41:32.283146,5m,29m,17m,15m,12m,14m,24m,5m
P00240,2025-01-22 00:21:00,90m,14E,D4,ORY,LYS,2025-01-22 02:57:03.287342,2025-01-22 04:27:11.769879,7m,15m,19m,4m,31m,38m,33m,7m
P00241,2025-01-29 14:59:00,571m,13A,B19,CDG,DXB,2025-01-29 17:35:55.195020,2025-01-30 03:07:01.935805,5m,25m,34m,18m,16m,47m,40m,10m
P00242,2025-01-27 02:52:00,75m,10D,F14,CDG,LYS,2025-01-27 05:04:58.802943,2025-01-27 06:19:48.064441,6m,11m,20m,4m,14m,39m,15m,9m
P00243,2025-01-22 15:24:00,458m,31D,F29,LYS,FRA,2025-01-22 17:16:28.883233,2025-01-23 00:54:02.716244,9m,14m,27m,10m,16m,19m,43m,8m
P00244,2025-01-13 15:56:00,122m,2F,F25,NCE,LYS,2025-01-13 17:49:13.738674,2025-01-13 19:51:21.680633,4m,19m,8m,5m,16m,21m,14m,6m
P00245,2025-01-16 01:09:00,351m,18E,D16,ORY,FRA,2025-01-16 03:56:09.579535,2025-01-16 09:46:45.971841,6m,13m,37m,12m,17m,38m,24m,8m
P00246,2025-01-20 01:13:00,894m,11F,B25,NCE,DXB,2025-01-20 03:03:24.733994,2025-01-20 17:57:51.254760,7m,16m,20m,15m,16m,18m,22m,9m
P00247,2025-01-24 06:21:00,IN (237m),33E,C14,CDG,FCO,2025-01-24 09:15:20.071635,2025-01-24 16:31:33.414783,13m,12m,38m,19m,26m,21m,,
P00248,2025-01-12 06:19:00,348m,23F,A5,LYS,DXB,2025-01-12 08:35:03.943082,2025-01-12 14:23:11.831937,11m,22m,20m,18m,17m,26m,56m,10m
P00249,2025-01-26 03:23:00,125m,40F,C27,LYS,ORY,2025-01-26 05:19:18.898162,2025-01-26 07:23:53.368347,6m,13m,29m,3m,18m,19m,28m,4m
P00250,2025-01-08 15:41:00,440m,14E,G28,ORY,JFK,2025-01-08 17:53:39.415768,2025-01-09 01:13:15.067407,7m,13m,17m,14m,10m,41m,41m,5m
P00251,2025-01-14 00:29:00,414m,19A,G6,NCE,LHR,2025-01-14 02:39:53.406167,2025-01-14 09:34:06.319700,5m,26m,19m,18m,15m,26m,15m,13m
P00252,2025-01-04 13:36:00,504m,22C,B29,NCE,FCO,2025-01-04 16:04:30.374699,2025-01-05 00:28:17.128447,11m,27m,29m,8m,17m,20m,34m,6m
P00253,2025-01-04 02:03:00,416m,6A,D11,CDG,AMS,2025-01-04 03:49:59.292733,2025-01-04 10:46:06.263906,6m,25m,14m,10m,25m,14m,23m,10m
P00254,2025-01-11 10:27:00,84m,35E,C1,NCE,BOD,2025-01-11 12:26:00.207052,2025-01-11 13:50:21.613218,7m,14m,46m,3m,17m,20m,20m,8m
P00255,2025-01-16 06:44:00,369m,15C,G19,CDG,MAD,2025-01-16 10:05:44.647780,2025-01-16 16:14:51.332340,6m,40m,36m,13m,30m,36m,49m,12m
P00256,2025-01-26 01:40:00,87m,35C,H3,NCE,LYS,2025-01-26 03:59:49.428374,2025-01-26 05:26:33.712624,7m,11m,37m,3m,15m,18m,11m,7m
P00257,2025-01-23 07:08:00,577m,5A,H5,BOD,MAD,2025-01-23 09:37:12.053613,2025-01-23 19:14:28.403659,11m,16m,21m,22m,25m,35m,32m,12m
P00258,2025-01-30 20:16:00,440m,12F,A27,BOD,LHR,2025-01-30 22:46:41.679833,2025-01-31 06:06:59.049490,8m,18m,24m,21m,15m,27m,26m,16m
P00259,2025-01-17 04:28:00,,2C,A4,CDG,ORY,2025-01-17 06:37:59.170021,2025-01-17 07:58:24.675920,7m,16m,IN (6m),,,,,
P00260,2025-01-09 15:07:00,,4C,D8,BOD,FCO,2025-01-09 17:02:23.402313,2025-01-10 00:58:27.370682,8m,11m,26m,10m,22m,IN (19m),,
P00261,2025-01-29 01:06:00,508m,40B,C22,ORY,DXB,2025-01-29 03:04:45.961000,2025-01-29 11:32:46.254986,7m,24m,23m,9m,8m,22m,25m,11m
P00262,2025-01-11 19:33:00,384m,31C,H25,NCE,LHR,2025-01-11 22:50:58.566596,2025-01-12 05:14:51.580522,11m,38m,30m,15m,34m,47m,43m,17m
P00263,2025-01-11 03:20:00,366m,11F,B15,LYS,JFK,2025-01-11 06:05:54.951799,2025-01-11 12:11:53.132456,5m,17m,25m,29m,20m,24m,61m,4m
P00264,2025-01-19 04:10:00,54m,24B,B2,CDG,BOD,2025-01-19 06:12:54.902494,2025-01-19 07:07:00.611504,9m,13m,33m,4m,17m,17m,17m,7m
P00265,2025-01-25 20:20:00,396m,40C,D24,ORY,LHR,2025-01-25 23:15:00.259011,2025-01-26 05:50:54.987059,9m,24m,23m,18m,22m,41m,31m,17m
P00266,2025-01-02 14:17:00,111m,32A,D18,CDG,ORY,2025-01-02 16:31:37.713365,2025-01-02 18:22:28.256003,3m,10m,22m,3m,42m,32m,22m,14m
P00267,2025-01-05 15:05:00,360m,11F,G16,LYS,LHR,2025-01-05 17:33:51.295965,2025-01-05 23:33:25.435877,9m,13m,15m,24m,22m,23m,25m,7m
P00268,2025-01-29 16:04:00,512m,8D,D15,LYS,LHR,2025-01-29 18:11:50.076519,2025-01-30 02:43:54.434948,5m,17m,24m,11m,26m,24m,22m,4m
P00269,2025-01-30 09:05:00,451m,17F,G22,ORY,JFK,2025-01-30 11:32:27.883810,2025-01-30 19:03:45.006006,11m,15m,20m,26m,32m,27m,37m,4m
P00270,2025-01-24 14:15:00,420m,1B,D13,ORY,AMS,2025-01-24 16:21:07.366981,2025-01-24 23:20:44.136833,5m,16m,18m,27m,9m,22m,22m,11m
P00271,2025-01-17 06:11:00,294m,11F,A30,BOD,LHR,2025-01-17 08:49:10.500583,2025-01-17 13:42:58.163679,5m,15m,15m,22m,28m,41m,72m,9m
P00272,2025-01-24 12:40:00,84m,24A,D4,NCE,BOD,2025-01-24 14:57:47.534678,2025-01-24 16:21:53.642637,10m,15m,16m,7m,13m,49m,8m,8m
P00273,2025-01-07 10:37:00,131m,36E,H27,CDG,NCE,2025-01-07 12:16:53.177019,2025-01-07 14:28:09.931236,5m,15m,22m,3m,13m,28m,24m,5m
P00274,2025-01-24 20:01:00,374m,15E,C18,BOD,MAD,2025-01-24 23:04:16.343045,2025-01-25 05:18:27.905238,7m,19m,27m,20m,25m,47m,24m,22m
P00275,2025-01-26 13:53:00,606m,26D,C5,NCE,DXB,2025-01-26 15:50:55.257668,2025-01-27 01:57:24.563500,10m,14m,22m,7m,14m,18m,20m,9m
P00276,2025-01-05 14:29:00,465m,25B,B25,NCE,FRA,2025-01-05 16:15:15.553428,2025-01-05 23:59:50.853986,5m,9m,15m,6m,13m,38m,30m,6m
P00277,2025-01-01 08:12:00,68m,25D,E20,CDG,BOD,2025-01-01 10:22:47.353568,2025-01-01 11:30:53.813535,7m,31m,14m,5m,37m,19m,19m,9m
P00278,2025-01-19 05:27:00,62m,23B,C20,ORY,NCE,2025-01-19 07:06:49.214961,2025-01-19 08:08:29.223524,14m,13m,14m,5m,13m,18m,16m,12m
P00279,2025-01-16 14:36:00,319m,2D,F4,ORY,DXB,2025-01-16 16:52:22.348802,2025-01-16 22:11:13.342703,6m,27m,18m,18m,22m,15m,20m,6m
P00280,2025-01-14 21:05:00,410m,22F,H11,LYS,FRA,2025-01-14 23:36:49.582626,2025-01-15 06:26:59.089899,6m,34m,31m,16m,14m,21m,21m,10m
P00281,2025-01-12 19:42:00,87m,31A,E15,NCE,LYS,2025-01-12 22:30:26.853380,2025-01-12 23:57:10.414518,11m,18m,17m,3m,39m,53m,42m,16m
P00282,2025-01-08 11:54:00,403m,29D,C6,BOD,FRA,2025-01-08 13:31:21.061464,2025-01-08 20:14:45.514760,7m,10m,20m,9m,15m,17m,47m,11m
P00283,2025-01-13 07:36:00,448m,40D,H17,ORY,JFK,2025-01-13 10:38:26.335567,2025-01-13 18:06:02.154725,9m,12m,37m,13m,23m,47m,36m,10m
P00284,2025-01-07 18:16:00,351m,34C,D9,ORY,DXB,2025-01-07 21:17:23.446102,2025-01-08 03:08:52.260491,3m,19m,22m,18m,32m,52m,48m,12m
P00285,2025-01-26 03:41:00,97m,34C,E19,BOD,NCE,2025-01-26 05:25:47.145861,2025-01-26 07:03:01.631964,6m,9m,15m,4m,27m,21m,18m,6m
P00286,2025-01-06 17:33:00,459m,5B,A11,LYS,FRA,2025-01-06 20:47:52.827844,2025-01-07 04:26:27.975868,6m,24m,35m,10m,16m,60m,33m,8m
P00287,2025-01-17 07:04:00,574m,34A,C3,NCE,FCO,2025-01-17 09:35:51.315244,2025-01-17 19:10:13.233146,6m,15m,27m,6m,29m,34m,28m,12m
P00288,2025-01-27 21:31:00,542m,35C,H16,BOD,LHR,2025-01-27 23:23:11.547187,2025-01-28 08:25:07.172725,3m,8m,33m,17m,13m,26m,33m,9m
P00289,2025-01-01 11:08:00,525m,16D,D18,BOD,LHR,2025-01-01 12:59:56.694113,2025-01-01 21:44:43.589766,7m,10m,17m,10m,20m,11m,20m,11m
P00290,2025-01-01 14:48:00,96m,9D,C23,LYS,NCE,2025-01-01 16:33:56.139616,2025-01-01 18:09:28.828226,8m,9m,14m,3m,20m,23m,29m,6m
P00291,2025-01-23 20:02:00,545m,16D,E19,ORY,JFK,2025-01-23 22:58:59.522046,2025-01-24 08:04:01.410391,11m,46m,18m,11m,18m,56m,34m,10m
P00292,2025-01-02 00:29:00,94m,31E,D8,BOD,LYS,2025-01-02 02:41:13.291503,2025-01-02 04:15:25.873752,8m,21m,24m,5m,18m,20m,19m,5m
P00293,2025-01-17 02:20:00,471m,3C,A23,NCE,MAD,2025-01-17 04:28:45.129791,2025-01-17 12:20:05.884353,6m,15m,11m,9m,16m,27m,21m,9m
P00294,2025-01-08 16:06:00,496m,6C,G29,ORY,MAD,2025-01-08 18:49:01.997272,2025-01-09 03:04:33.690627,6m,10m,33m,11m,18m,38m,19m,6m
P00295,2025-01-06 08:22:00,,32D,G8,BOD,LYS,2025-01-06 10:41:20.621281,2025-01-06 11:53:09.277503,4m,10m,35m,11m,IN (18m),,,
P00296,2025-01-23 15:59:00,82m,26A,B10,LYS,BOD,2025-01-23 17:50:29.555508,2025-01-23 19:12:39.055032,4m,13m,25m,4m,20m,18m,22m,9m
P00297,2025-01-30 17:29:00,327m,14A,G28,NCE,MAD,2025-01-30 19:41:12.801259,2025-01-31 01:08:16.001922,7m,15m,17m,9m,23m,20m,32m,7m
P00298,2025-01-09 18:15:00,88m,2D,G30,ORY,BOD,2025-01-09 21:06:55.530255,2025-01-09 22:35:03.351842,10m,23m,14m,9m,30m,50m,25m,10m
P00299,2025-01-27 13:50:00,97m,12E,D11,LYS,BOD,2025-01-27 15:26:12.947349,2025-01-27 17:03:39.011837,4m,13m,15m,4m,25m,19m,24m,11m
P00300,2025-01-18 13:10:00,446m,11E,E6,CDG,AMS,2025-01-18 15:24:46.236734,2025-01-18 22:50:38.890260,13m,26m,16m,18m,15m,19m,42m,14m
P00301,2025-01-22 09:40:00,433m,5C,H25,ORY,MAD,2025-01-22 12:09:45.541906,2025-01-22 19:22:54.489254,10m,29m,19m,18m,18m,16m,29m,8m
P00302,2025-01-23 05:02:00,431m,31E,H6,LYS,DXB,2025-01-23 07:33:02.031720,2025-01-23 14:43:55.627608,8m,28m,22m,8m,20m,55m,44m,6m
P00303,2025-01-10 20:19:00,62m,6D,G17,BOD,NCE,2025-01-10 22:45:20.829861,2025-01-10 23:47:07.770836,16m,18m,26m,9m,35m,26m,31m,11m
P00304,2025-01-01 16:16:00,,34C,D25,ORY,FCO,2025-01-01 18:31:23.609780,2025-01-02 02:34:21.799185,4m,15m,33m,IN (7m),,,,
P00305,2025-01-02 02:24:00,476m,33A,C11,NCE,DXB,2025-01-02 04:30:15.914014,2025-01-02 12:26:41.307616,6m,8m,20m,10m,13m,42m,28m,7m
P00306,2025-01-24 16:43:00,86m,38C,A1,CDG,ORY,2025-01-24 19:03:46.250649,2025-01-24 20:29:49.384188,5m,11m,17m,4m,37m,22m,36m,7m
P00307,2025-01-10 06:47:00,68m,7D,E13,ORY,CDG,2025-01-10 09:05:51.885243,2025-01-10 10:13:33.046488,8m,15m,25m,8m,40m,28m,29m,19m
